Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
San Bernardino County California,1991,2,Private,Construction,3146.0,23149.0,522.0
San Bernardino County California,1991,2,Private,Manufacturing,1759.0,45379.33,503.0
San Bernardino County California,1991,2,Private,Service-providing,21166.0,248456.67,396.0
San Bernardino County California,1991,2,Private,Trade transportation and utilities,5860.0,90459.0,404.0
San Bernardino County California,1991,2,Private,Information,242.0,7718.0,554.0
San Bernardino County California,1991,2,Private,Financial activities,2147.0,18586.33,473.0
San Bernardino County California,1991,2,Private,Professional and business services,2711.0,36774.67,448.0
San Bernardino County California,1991,2,Private,Education and health services,2299.0,44756.0,490.0
San Bernardino County California,1991,2,Private,Leisure and hospitality,2084.0,35516.67,174.0
San Bernardino County California,1991,2,Private,Other services,5742.0,14317.33,277.0
U.S. TOTAL,1991,2,Total Covered,Total all industries,6356803.0,107262991.33,463.0
U.S. TOTAL,1991,2,Federal Government,Total all industries,46124.0,3104236.0,613.0
U.S. TOTAL,1991,2,State Government,Total all industries,58304.0,4028374.33,516.0
U.S. TOTAL,1991,2,Local Government,Total all industries,114729.0,11124076.33,489.0
U.S. TOTAL,1991,2,Private,Total all industries,6137613.0,89005478.33,452.0
U.S. TOTAL,1991,2,Private,Goods-producing,1172354.0,23464264.33,534.0
U.S. TOTAL,1991,2,Private,Natural resources and mining,126503.0,1748734.33,440.0
U.S. TOTAL,1991,2,Private,Construction,654847.0,4707952.67,504.0
U.S. TOTAL,1991,2,Private,Manufacturing,391004.0,17007577.33,552.0
U.S. TOTAL,1991,2,Private,Service-providing,4965259.0,65541214.0,423.0
U.S. TOTAL,1991,2,Private,Trade transportation and utilities,1680606.0,21692963.67,414.0
U.S. TOTAL,1991,2,Private,Information,92510.0,2718921.0,610.0
U.S. TOTAL,1991,2,Private,Financial activities,558903.0,6616256.67,547.0
U.S. TOTAL,1991,2,Private,Professional and business services,834653.0,10526444.0,530.0
U.S. TOTAL,1991,2,Private,Education and health services,553472.0,11033635.67,445.0
U.S. TOTAL,1991,2,Private,Leisure and hospitality,520635.0,9450657.0,197.0
U.S. TOTAL,1991,2,Private,Other services,708206.0,3425900.0,310.0
San Bernardino County California,1991,3,Total Covered,Total all industries,27768.0,402026.67,443.0
San Bernardino County California,1991,3,Federal Government,Total all industries,141.0,14370.0,461.0
San Bernardino County California,1991,3,State Government,Total all industries,426.0,8166.33,724.0
San Bernardino County California,1991,3,Local Government,Total all industries,175.0,53017.0,495.0
San Bernardino County California,1991,3,Private,Total all industries,27026.0,326473.33,426.0
San Bernardino County California,1991,3,Private,Goods-producing,5546.0,75271.67,507.0
San Bernardino County California,1991,3,Private,Natural resources and mining,529.0,5621.67,369.0
San Bernardino County California,1991,3,Private,Construction,3209.0,23561.0,521.0
San Bernardino County California,1991,3,Private,Manufacturing,1808.0,46089.0,517.0
San Bernardino County California,1991,3,Private,Service-providing,21480.0,251201.67,402.0
San Bernardino County California,1991,3,Private,Trade transportation and utilities,5929.0,92062.0,414.0
San Bernardino County California,1991,3,Private,Information,237.0,7864.33,594.0
San Bernardino County California,1991,3,Private,Financial activities,2165.0,18497.33,477.0
San Bernardino County California,1991,3,Private,Professional and business services,2737.0,37695.0,446.0
San Bernardino County California,1991,3,Private,Education and health services,2333.0,44549.0,494.0
San Bernardino County California,1991,3,Private,Leisure and hospitality,2147.0,35224.0,178.0
San Bernardino County California,1991,3,Private,Other services,5809.0,14981.0,273.0
U.S. TOTAL,1991,3,Total Covered,Total all industries,6391477.0,106757434.67,462.0
U.S. TOTAL,1991,3,Federal Government,Total all industries,46262.0,3151559.0,637.0
U.S. TOTAL,1991,3,State Government,Total all industries,58079.0,3942961.0,526.0
U.S. TOTAL,1991,3,Local Government,Total all industries,115471.0,9635842.0,458.0
U.S. TOTAL,1991,3,Private,Total all industries,6171632.0,90026223.0,454.0
U.S. TOTAL,1991,3,Private,Goods-producing,1175858.0,23880110.0,530.0
U.S. TOTAL,1991,3,Private,Natural resources and mining,127367.0,1884055.33,419.0
U.S. TOTAL,1991,3,Private,Construction,656464.0,4906533.67,508.0
U.S. TOTAL,1991,3,Private,Manufacturing,392027.0,17089521.0,548.0
U.S. TOTAL,1991,3,Private,Service-providing,4995774.0,66146113.0,426.0
U.S. TOTAL,1991,3,Private,Trade transportation and utilities,1685452.0,21805434.0,420.0
U.S. TOTAL,1991,3,Private,Information,92998.0,2705000.0,618.0
U.S. TOTAL,1991,3,Private,Financial activities,560565.0,6647022.0,544.0
U.S. TOTAL,1991,3,Private,Professional and business services,842846.0,10627151.67,528.0
U.S. TOTAL,1991,3,Private,Education and health services,558633.0,11070769.0,456.0
U.S. TOTAL,1991,3,Private,Leisure and hospitality,525131.0,9769648.33,202.0
U.S. TOTAL,1991,3,Private,Other services,713266.0,3441821.67,313.0
San Bernardino County California,1991,4,Total Covered,Total all industries,29890.0,416981.0,471.0
San Bernardino County California,1991,4,Federal Government,Total all industries,149.0,14119.0,571.0
San Bernardino County California,1991,4,State Government,Total all industries,412.0,7911.0,737.0
San Bernardino County California,1991,4,Local Government,Total all industries,176.0,63579.0,551.0
San Bernardino County California,1991,4,Private,Total all industries,29153.0,331372.0,445.0
San Bernardino County California,1991,4,Private,Goods-producing,5587.0,74200.0,526.0
San Bernardino County California,1991,4,Private,Natural resources and mining,543.0,5736.67,370.0
San Bernardino County California,1991,4,Private,Construction,3209.0,22459.33,530.0
San Bernardino County California,1991,4,Private,Manufacturing,1835.0,46004.0,544.0
San Bernardino County California,1991,4,Private,Service-providing,23566.0,257172.0,422.0
San Bernardino County California,1991,4,Private,Trade transportation and utilities,6042.0,97080.33,415.0
San Bernardino County California,1991,4,Private,Information,249.0,7767.67,566.0
San Bernardino County California,1991,4,Private,Financial activities,2201.0,18494.33,507.0
San Bernardino County California,1991,4,Private,Professional and business services,2818.0,38658.67,474.0
San Bernardino County California,1991,4,Private,Education and health services,2379.0,44654.33,574.0
San Bernardino County California,1991,4,Private,Leisure and hospitality,2241.0,35929.33,175.0
San Bernardino County California,1991,4,Private,Other services,7532.0,14338.0,282.0
U.S. TOTAL,1991,4,Total Covered,Total all industries,6433926.0,107802907.33,503.0
U.S. TOTAL,1991,4,Federal Government,Total all industries,46672.0,3129784.33,636.0
U.S. TOTAL,1991,4,State Government,Total all industries,58225.0,4034434.33,528.0
U.S. TOTAL,1991,4,Local Government,Total all industries,116054.0,11185275.0,476.0
U.S. TOTAL,1991,4,Private,Total all industries,6212942.0,89452458.67,501.0
U.S. TOTAL,1991,4,Private,Goods-producing,1172246.0,23373339.67,581.0
U.S. TOTAL,1991,4,Private,Natural resources and mining,128089.0,1686882.67,488.0
U.S. TOTAL,1991,4,Private,Construction,652085.0,4689172.33,560.0
U.S. TOTAL,1991,4,Private,Manufacturing,392072.0,16997284.67,595.0
U.S. TOTAL,1991,4,Private,Service-providing,5040696.0,66079119.0,472.0
U.S. TOTAL,1991,4,Private,Trade transportation and utilities,1685019.0,22189011.67,447.0
U.S. TOTAL,1991,4,Private,Information,94252.0,2697825.0,666.0
U.S. TOTAL,1991,4,Private,Financial activities,562232.0,6568265.0,620.0
U.S. TOTAL,1991,4,Private,Professional and business services,848826.0,10622516.67,610.0
U.S. TOTAL,1991,4,Private,Education and health services,561710.0,11324666.33,510.0
U.S. TOTAL,1991,4,Private,Leisure and hospitality,526723.0,9161741.0,218.0
U.S. TOTAL,1991,4,Private,Other services,745337.0,3436761.33,328.0
San Bernardino County California,1992,1,Total Covered,Total all industries,30703.0,412645.33,453.0
San Bernardino County California,1992,1,Federal Government,Total all industries,149.0,14956.67,585.0
San Bernardino County California,1992,1,State Government,Total all industries,453.0,7828.67,745.0
San Bernardino County California,1992,1,Local Government,Total all industries,186.0,62960.0,530.0
